Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
The Lift Flex,CO,Winter Park,Rural,Town of Winter Park,Microtransit,Not specified,App/Phone,Same-day,Free,Not specified,2026,CDOT Clean Transit Enterprise + Grand County grant,Active - New,Cutaway buses,Not specified,wpgov.com,39.8867,-105.7625,Deep sweep CO
Yellow Zone,CO,Steamboat Springs,Rural,City of Steamboat Springs,Microtransit,Downtowner,App,Same-day,Free,Daily 7am-6:20pm,Not specified,Not specified,Active,Not specified,Not specified,steamboatsprings.net/1312/Yellow-Zone,40.4850,-106.8317,Deep sweep CO
Basalt Connect,CO,Basalt,Rural,Town of Basalt,Microtransit,"Downtowner (""Ride Roaring Fork"")",App,Same-day,Free,Not specified,~2022,Town of Basalt + RFTA,Active,Not specified,Not specified,basalt.net/642/Basalt-Connect,39.3691,-107.0334,Deep sweep CO
Snowmass Village On-Demand Shuttle (Route 22),CO,Snowmass Village,Rural,Snowmass Village,Microtransit,Not specified,App,Same-day,Free (town + seasonal CDOT Zero Fare grant),Not specified,Not specified,Not specified,Active,Not specified,Not specified,villageshuttle.com/138/On-Demand-Shuttle,39.2110,-106.9378,Deep sweep CO
Call-N-Ride (Greeley-Evans Transit),CO,"Greeley, Evans",Urban,Greeley-Evans Transit (GET),Demand-Response,Not specified,Phone,Advance (1-14 days),Not specified,Sundays + weekday evenings,Not specified,Not specified,Active,Not specified,Not specified,greeleyevanstransit.com/services,40.4233,-104.7091,Deep sweep CO
Cripple Creek Bus / On-Demand Service,CO,"City of Cripple Creek & Victor, Teller County",Rural,City of Cripple Creek,Demand-Response,Not specified,Phone,Same-day (20-min notice),Conflicting sources (see concerns.csv),Not specified,Not specified,Not specified,Active,One 2021 Ford E-450 (ADA-lift),Not specified,cityofcripplecreek.com/transportation,38.7478,-105.1783,Deep sweep CO
YavaLine / YAV Connect,AZ,"Prescott Valley, Prescott",Suburban,New Horizons Disability Empowerment Center (for Town of Prescott Valley),Microtransit,Via,App/Phone,Same-day,$2 standard / $1 reduced / free age 5 and under,Mon-Fri 6am-8pm,2022,FTA grant,Active - Expanding,Not specified,Not specified,Not specified,34.6100,-112.3157,Deep sweep AZ
Camel Express,AZ,Quartzsite / La Paz Valley (La Paz County),Rural,Town of Quartzsite Transportation Dept,Demand-Response,Not specified,Phone,"Advance (up to 14 days, min ~1 day)",Not specified,Seasonal,Not specified,ADOT/FTA,Active,Not specified,Not specified,Not specified,33.6642,-114.2325,Deep sweep AZ
REV-UP,CA,"West Park, Biola, Kerman (rural Fresno County)",Rural,Fresno County Rural Transit Agency (FCRTA); operated by Inspiration Transportation,Microtransit,Not specified,App/Phone,Flexible,$5/ride,Not specified,2020,Not specified,Active,Chevy Bolt EVs,Not specified,Not specified,36.7241,-120.0691,Deep sweep CA
Clovis Transit Micro-Transit,CA,Clovis,Suburban,City of Clovis,Microtransit,Spare,App,Same-day,Free,Not specified,2025,Local sales tax,Active - New,Not specified,Not specified,Not specified,36.8252,-119.7029,Deep sweep CA
Visalia Connect,CA,Visalia,Suburban,City of Visalia,Microtransit,Not specified,App,Same-day,$5/trip,Not specified,2025,Not specified,Active,Not specified,Not specified,Not specified,36.3302,-119.2921,Deep sweep CA
TCRTA Transport,CA,Tulare County,Rural,Tulare County Regional Transit Agency (TCRTA),Microtransit,Not specified,App,Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,36.2077,-119.2900,Deep sweep CA
KART Flex Route,CA,"Hanford, Lemoore (Kings County)",Suburban,Kings Area Rural Transit (KART),Demand-Response,Not specified,App/Phone,Flexible (same-day or up to 7 days advance),$1.25,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,36.3274,-119.6457,Deep sweep CA
Delano DART N'GO,CA,Delano,Suburban,City of Delano,Microtransit,Not specified,"App (""Rides On Demand"")",Same-day,Free,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,35.7688,-119.2471,Deep sweep CA
Madera City Dial-A-Ride,CA,City of Madera,Suburban,City of Madera,Demand-Response,Not specified,Phone,Not specified,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,36.9613,-120.0607,Deep sweep CA
Madera County Connection Dial-A-Ride,CA,Rural Madera County,Rural,Madera County,Demand-Response,Not specified,Phone,Not specified,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,37.1000,-119.7000,Deep sweep CA
RABA Runabout,CA,"Redding, Shasta Lake, Anderson (5-6 zones)",Suburban,Redding Area Bus Authority (RABA); MTM Transit operated,Microtransit,Not specified,App,Same-day,Not specified,Not specified,2024,Not specified,Active,Not specified,Not specified,Not specified,40.5865,-122.3917,Deep sweep CA
ShastaConnect Rural Demand Response,CA,Rural Shasta County,Rural,Redding Area Bus Authority (RABA),Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,40.7000,-122.2000,Deep sweep CA
B-Line FLEX,CA,"Paradise, Magalia (Butte County)",Rural,Butte County Association of Governments (B-Line),Microtransit,Not specified,App,Same-day,$2/request,Not specified,2026,Not specified,Pilot,Not specified,Not specified,Not specified,39.7596,-121.6219,Deep sweep CA
Yuba-Sutter Transit MOD,CA,"Linda, Olivehurst",Suburban,Yuba-Sutter Transit Authority,Microtransit,Not specified,App (multilingual),Same-day,$1.50,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,39.1235,-121.5602,Deep sweep CA
Placer County Dial-A-Ride Microtransit,CA,"Rocklin, Lincoln",Suburban,Placer County,Microtransit,Spare (3-year contract),App,Same-day,Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,38.7907,-121.2358,Deep sweep CA
BeeLine,CA,"Woodland, Winters, Knights Landing (Yolo County)",Suburban,Yolo County Transportation District; Transdev operated,Microtransit,RideCo,App,Same-day,$3,Not specified,2023,Not specified,Active,Not specified,Not specified,Not specified,38.6785,-121.7733,Deep sweep CA
LumaGo,CA,Petaluma,Suburban,City of Petaluma; MV Transportation operated,Microtransit,Not specified,App,Same-day,Free,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,38.2324,-122.6367,Deep sweep CA
SMART Connect (Larkspur),CA,Larkspur ferry terminal (Marin County),Suburban,Sonoma-Marin Area Rail Transit (SMART),Microtransit,Ride Pingo,App,Same-day,Tiered,Thu-Sun,2024,Not specified,Pilot,Not specified,Not specified,Not specified,37.9349,-122.5350,Deep sweep CA
Van Go!,CA,San Joaquin County (countywide),Mixed,San Joaquin Regional Transit District (RTD),Demand-Response,Ecolane,App/Phone,Same-day,Sliding-scale,7 days/week,~2018,Not specified,Active,Not specified,Not specified,Not specified,37.9577,-121.2908,Deep sweep CA
Lathrop Transit Microtransit,CA,Lathrop,Suburban,City of Lathrop; United Transit operated,Microtransit,Not specified,App,Same-day,Free through June 2026,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,37.8249,-121.2694,Deep sweep CA
San Benito County Express On-Demand,CA,Hollister,Suburban,San Benito County Express,Microtransit,Not specified,App/Phone,Same-day (1-hr advance option),Not specified,Not specified,2021,Not specified,Active,Not specified,Not specified,Not specified,36.8524,-121.4016,Deep sweep CA
MoGo,CA,Morgan Hill,Suburban,City of Morgan Hill / VTA,Microtransit,RideCo,App,Same-day,$2.50,Not specified,2022,VTA Measure B,Active,Not specified,Not specified,Not specified,37.1305,-121.6544,Deep sweep CA
AVTA On-Request Microtransit,CA,"Antelope Valley (Lancaster, Palmdale)",Suburban,Antelope Valley Transit Authority (AVTA),Microtransit,RideCo,App,Same-day,Not specified,Not specified,Not specified,Not specified,Active,GreenPower EV Star shuttles,Not specified,Not specified,34.6868,-118.1542,Deep sweep CA
LB Circuit,CA,Downtown Long Beach to Belmont Shore,Urban,City of Long Beach / Circuit Transit,Microtransit,Circuit,App,Same-day,Free,Weekend/evening,Not specified,Not specified,Active,Not specified,Not specified,Not specified,33.7701,-118.1937,Deep sweep CA
Whittier On-Demand Transit Pilot,CA,"Whittier, La Habra Heights",Suburban,City of Whittier,Microtransit,The Routing Company,App,Same-day,Not specified,Not specified,2025 (6-month pilot),Not specified,Pilot,16 vehicles,Not specified,Not specified,33.9792,-118.0328,Deep sweep CA
FRANC,CA,National City,Urban,City of National City,Microtransit,Circuit,App,Same-day,Free,Not specified,Not specified,CA Clean Mobility Options grant,Active,Not specified,Not specified,Not specified,32.6781,-117.0992,Deep sweep CA
gO'side Electric Shuttle,CA,Oceanside,Urban,SANDAG + City of Oceanside,Microtransit,Circuit,App,Same-day,$3,Not specified,2022 (relaunched 2023),Not specified,Active,Not specified,Not specified,Not specified,33.1959,-117.3795,Deep sweep CA
The Snapper,FL,Safety Harbor to Clearwater (Pinellas County),Suburban,Pinellas Suncoast Transit Authority (PSTA); Transdev operated,Microtransit,Not specified,App,Same-day,Not specified,Not specified,2023,Not specified,Active - Expanding,Not specified,Not specified,Not specified,27.9906,-82.6929,Deep sweep FL
The Squeeze,FL,"Lakeland, Bartow, Lake Wales (Polk County)",Suburban,Citrus Connection,Microtransit,Not specified,App,Same-day,Free,Not specified,Not specified,Community partnership,Active,Golf-cart shuttles,Not specified,Not specified,28.0395,-81.9498,Deep sweep FL
NeighborLink,FL,"Orange, Seminole, Osceola counties (10 zones)",Suburban,Central Florida Regional Transportation Authority (LYNX),Microtransit,Not specified,App,Same-day,$2 flat,Not specified,Not specified,Not specified,Active,ADA-accessible fleet,Transfers to LYNX/SunRail,Not specified,28.5383,-81.3792,Deep sweep FL
FlexTransit,FL,Escambia County (Pensacola),Suburban,Escambia County Area Transit (ECAT),Microtransit,RideCo,App,Same-day,$2.50,Not specified,2025,Not specified,Active - Expanding,9 ADA vans (13 more planned),Transitioned from paratransit-only soft launch (Apr 2025) to stated full public access by fall 2025,Not specified,30.4213,-87.2169,Deep sweep FL
VoRide,FL,Volusia County (West and East),Suburban,Votran,Microtransit,Spare Labs,App,Same-day,$2 base / $1 reduced,Not specified,2023,Not specified,Active,Not specified,Not specified,Not specified,29.0283,-81.3031,Deep sweep FL
StarMetro FLEX (Lake Jackson & Southside),FL,Tallahassee,Urban,StarMetro (City of Tallahassee),Demand-Response,Not specified,App/Phone,Advance (2-hour),Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,30.4383,-84.2807,Deep sweep FL
TheBus Ride (Route 6),FL,Brooksville (Hernando County),Suburban,Hernando County Transit; RATP Dev partnership,Demand-Response,Not specified,Phone,Advance (2-hour),$1.25,Not specified,2025,Not specified,Active,Not specified,Not specified,Not specified,28.5553,-82.3879,Deep sweep FL
Island Hopper,FL,Amelia Island / Fernandina Beach (Nassau County),Suburban,Nassau County / City of Fernandina Beach,Demand-Response,Not specified,Phone,Same-day,$2/boarding,Saturdays 9am-5pm,Not specified,Not specified,Active,Not specified,Not specified,Not specified,30.6697,-81.4626,Deep sweep FL
VIA Link,TX,San Antonio (6 zones),Urban,VIA Metropolitan Transit,Microtransit,RideCo,App/Web/Phone,Same-day,$1.30,Not specified,2019,Not specified,Active,Not specified,Not specified,viainfo.net/link,29.4241,-98.4936,Deep sweep TX
CapMetro Pickup,TX,Austin (12 zones),Urban,Capital Metro; operated by MTM Transit,Microtransit,Not specified,App/Phone,Same-day,$1.25,Not specified,2019,Not specified,Active,Not specified,>1M rides by Apr 2024,capmetro.org/pickup,30.2672,-97.7431,Deep sweep TX
Sun Metro Microtransit,TX,Upper East El Paso (Fort Bliss area),Suburban,Sun Metro / City of El Paso,Microtransit,Not specified,App/Phone,Same-day,Not specified,Not specified,Not specified,Not specified,Pilot,Not specified,Not specified,sunmetro.net/microtransit,31.7619,-106.4850,Deep sweep TX
Micro McAllen,TX,NW McAllen,Suburban,Metro McAllen,Microtransit,RideCo,App,Same-day,$1.00 / $0.50 reduced,Not specified,Not specified,Not specified,Active,Not specified,Not specified,mcallen.net/metro,26.2034,-98.2300,Deep sweep TX
Micro Dash,TX,"Waco (South Hewitt, Central, Northcrest)",Suburban,Waco Transit System,Microtransit,The Routing Company / Ride Pingo,App,Same-day,$1.50,Not specified,2024,Not specified,Active,6 vehicles,Not specified,Not specified,31.5493,-97.1467,Deep sweep TX
Citibus On-Demand,TX,Lubbock,Urban,Citibus / City of Lubbock,Microtransit,GoPass app,App,Same-day,$2-10 distance-based,Not specified,2020,Not specified,Active,Not specified,Not specified,Not specified,33.5779,-101.8552,Deep sweep TX
ZipZone,TX,NW Abilene,Suburban,CityLink Transit,Microtransit,Not specified,App,Same-day,$3,Not specified,Not specified,Not specified,Active,Not specified,Not specified,abilenetx.gov/2127/ZipZone,32.4487,-99.7331,Deep sweep TX
STARNow,TX,"12 DFW-area cities (Mesquite, Balch Springs, Kaufman, Terrell, Forney, Seagoville, DeSoto, Cedar Hill, Duncanville, Hutchins, Lancaster, Wilmer)",Suburban,STAR Transit,Microtransit,Spare,App/Phone,Same-day,$1-2,Not specified,2019,Not specified,Active,Not specified,Not specified,Not specified,32.7668,-96.5992,Deep sweep TX
CARTS Now,TX,"Bastrop, Lockhart, Taylor, Marble Falls, Elgin, La Grange",Rural,Capital Area Rural Transportation System (CARTS),Microtransit,Not specified,App/Phone,Same-day (~15 min target),Not specified,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,30.1105,-97.3151,Deep sweep TX
Via Grand Prairie,TX,City of Grand Prairie + TCC/UTA/Dallas Baptist/Dallas College,Suburban,City of Grand Prairie,Microtransit,Via,App,Same-day,$3 / $2 reduced,Not specified,2022,Not specified,Active,Not specified,Not specified,Not specified,32.7459,-96.9978,Deep sweep TX
Addison Orbit,TX,Town of Addison,Suburban,Town of Addison,Microtransit,Via,App,Same-day,$3 / $1.50 reduced / free under 12,Not specified,2026,Not specified,Active - New,Not specified,Not specified,Not specified,32.9618,-96.8291,Deep sweep TX
Highland Park On-Demand,TX,Town of Highland Park + 1-mile radius to Mockingbird Station,Urban,Town of Highland Park,Microtransit,Via,App,Same-day,Free,Not specified,2026,Not specified,Active - New,Not specified,Replaced prior DART fixed-route service,Not specified,32.8035,-96.7936,Deep sweep TX
Harris County Transit Plus,TX,"2 zones (North/South), NE Beltway 8 / Generation Park",Suburban,Harris County,Demand-Response,Not specified,App/Phone,Same-day (1hr min lead time; up to 3 days advance also accepted),$1 / $0.50 reduced,Not specified,2021,Not specified,Active,2 18-passenger buses,Not specified,Not specified (part of Harris County Precinct 1/METRO umbrella; no dedicated site confirmed),29.9000,-95.1500,Deep sweep TX
Round Rock Rides,TX,City of Round Rock,Suburban,City of Round Rock; operated by zTrip,Microtransit,RideCo,App,Flexible (30 min - 7 days),$4 / $2 reduced,Not specified,2023,Not specified,Active,Not specified,Not specified,Not specified,30.5083,-97.6789,Deep sweep TX
METRO curb2curb,TX,Missouri City and Kashmere Gardens zones,Suburban,Houston METRO,Microtransit,RideCo,App,Same-day,$1.25,5am-7pm,2020,Not specified,Active,Not specified,Distinct vendor/zones/fare/booking model from existing 'Houston Community Connector' row,Not specified,29.7604,-95.3698,Deep sweep TX
ART Pronto,TX,Kerrville and Seguin zones (Alamo Regional Transit),Suburban,Alamo Area Council of Governments,Microtransit,Not specified,App/Phone,Same-day (<30 min target),$4 flat,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,30.0474,-99.1403,Deep sweep TX
SPARTAN Same Day,TX,Levelland and Plainview (South Plains CAA),Rural,South Plains Community Action Association,Microtransit,QRyde,App/Phone,Same-day,$1.00,Not specified,2025,Not specified,Active - New,Not specified,Not specified,Not specified,33.5865,-102.3779,Deep sweep TX
TRAX (Permian Basin RTD),TX,17-22 West Texas counties,Rural,Permian Basin Regional Transit District; operated by West Texas Opportunities Inc.,Demand-Response,Not specified,Phone,Advance,Not specified,Not specified,Not specified,Not specified,Active,Not specified,"~63,447 annual trips (2023); name collision with unrelated 'TRAX (Ark-Tex COG)' -- distinct systems",Not specified,31.9973,-102.0779,Deep sweep TX
SCRPT / The Connection,TX,Hunt County (Greenville),Rural,South Central Rural Public Transportation (SCRPT),Demand-Response,Not specified,Phone,Same-day (double fare tier); advance also accepted,Not specified,Not specified,1989,Not specified,Active,Not specified,Not specified,https://www.scrpt.org/transportation.htm,33.1384,-96.1108,Deep sweep TX
SWART Dial-a-Ride,TX,"Dimmit, Edwards, Kinney, La Salle, Maverick, Real, Uvalde, Zavala counties",Rural,Southwest Area Regional Transit District (SWART),Demand-Response,Not specified,Phone,"Same-day (double fare, subject to availability); 24hr advance preferred",$2+,Not specified,1981,Not specified,Active,Not specified,Not specified,https://paseoswart.org/,29.2100,-99.7862,Deep sweep TX
City of Del Rio Transportation,TX,Val Verde County + intercity medical trips,Rural,City of Del Rio,Demand-Response,Not specified,Phone,Not specified,Not specified,Not specified,Not specified,Not specified,Active,Not specified,"Scheduling window unconfirmed; fare figure found is from 2019, likely stale",Not specified,29.3709,-100.8959,Deep sweep TX
REAL Flash (Beeville/Alice/Rancho Alegre),TX,Beeville/Alice/Rancho Alegre zone (Bee & Jim Wells counties),Rural,Rural Economic Assistance League (REAL),Microtransit,Not specified,App/Phone,Same-day,$2,Mon-Fri 7am-3pm,Not specified,Not specified,Active,Not specified,Same operator/brand as existing 'REAL Microtransit (Rockport/Fulton)' row but a disjoint zone -- flagged for a possible merge decision,Not specified,28.4014,-97.7492,Deep sweep TX
Brunswick Breeze,GA,City of Brunswick / Glynn County,Suburban,City of Brunswick,Microtransit,Via,App/Phone,Same-day,$3 or less,Not specified,Not specified,Not specified,Active,Not specified,Not specified,Not specified,31.1310,-81.4915,Deep sweep GA
Roll With Us (METRA),GA,Uptown Columbus,Urban,METRA / Columbus Consolidated Government,Microtransit,Not specified,App,Same-day,Free,Not specified,Not specified,Not specified,Active,5-passenger solar golf carts,Not specified,Not specified,32.4609,-84.9877,Deep sweep GA
Jackson County Transport,GA,Jackson County (connects to Athens-Clarke),Rural,Jackson County,Demand-Response,Not specified,Phone,Advance (first-come-first-serve),Not specified,Mon-Fri 7am-4pm,Not specified,Not specified,Active,Not specified,Not specified,Not specified,34.1181,-83.5730,Deep sweep GA
Go Wake Forest,NC,Wake Forest town limits and a portion of Wakefield,Suburban,Town of Wake Forest (operated by Via),Microtransit,Via,App/Phone,Same-day,Free through Jan 31 2026; tiered/distance-based fare from Feb 1 2026 (+$1.25/additional passenger); reduced fare for seniors/low-income/mobility-disabled,Mon-Thu 6am-9:30pm; Fri 6am-10:30pm; Sat 8am-10:30pm; closed Sunday,2024,Not specified,Active,3 minivans (4th added during peak hours),"Replaced the town's prior fixed-route ""Wake Forest Loop"" bus",wakeforestnc.gov/transportation/go-wake-forest,35.9799,-78.5097,Deep sweep NC (dedup follow-up)
WRTD Dial-A-Ride,CT,"Ashford, Chaplin, Columbia, Coventry, Lebanon, Mansfield, Scotland, Willington, Windham/Willimantic (9-town WRTD district)",Mixed,Windham Region Transit District,Demand-Response,Ecolane,Phone/Website/App,"Advance (by 4pm business day before, up to 2 weeks ahead)","$3.00 one-way (seniors 60+: donation-based, ~$2.50 suggested via grant program)",Not specified,Not specified,Not specified,Active,Not specified,"Explicitly ""available to the general public, with no restrictions on age or disabilities""; distinct second product from same-day ""WRTD Link"" row",wrtd.org/dial-a-ride,41.8073,-72.2479,Deep sweep CT (dedup follow-up)
River Valley Transit Dial-A-Ride,CT,"Chester, Clinton, Deep River, Durham, Essex, East Haddam, East Hampton, Haddam, Killingworth, Lyme, Middlefield, Middletown, Old Lyme, Old Saybrook, Portland, Westbrook (16-town Estuary Transit District area)",Rural,River Valley Transit (Estuary Transit District),Demand-Response,Ecolane (Mobility by Ecolane),Phone/Website/App,"Advance (by 4:30pm business day before, up to 2 weeks ahead)",$3.50 one-way (discount for seniors 60+),Mon-Fri 6:30am-4:30pm,Not specified,Not specified,Active,Not specified,"Curb-to-curb, trip must start/end 3/4 mile beyond fixed RVT bus routes; distinct legacy product from the same-day TransLoc-based XtraMile/River HOP zone rows from the same operator",rivervalleytransit.com/dial-a-ride,41.45,-72.45,Deep sweep CT (dedup follow-up)
Baraboo Shared-Ride Taxi,WI,City of Baraboo + Village of West Baraboo (up to 8 miles),Rural,Running Inc.,Demand-Response,Not specified,Phone/Online,Same-day,Adult $6.00; Senior/Student/Disabled $5.00; +$3.00 first mile/$2.00 per add'l mi,Daily 6am-10pm (reduced on major holidays),Not specified,"City; ~$20,000 federal (2025); one-time $50,000 SSM Health Foundation donation Feb 2025 (city flags funding strain)",Active,Not specified,Financially strained per city commentary,baraboowi.gov/index.asp?SEC=6BB650DF-AA70-4F44-AE8B-F5ACF3B8E4CB,43.4711,-89.7443,Deep sweep WI (shared-ride taxi follow-up)
Beaver Dam Shared-Ride Taxi,WI,City of Beaver Dam,Rural,Running Inc.,Demand-Response,Not specified,Phone/Online,Same-day,Adult $3.50; Senior $2.00; Student $3.00; Disabled $2.00; +$1.50 add'l rider; $1.50/mi out-of-town; flat $6.00 after 10pm,Mon-Thu 6am-10pm; Fri 6am-2:30am; Sat 8am-2:30am; Sun 8am-8pm,Not specified (current operator since 2014),Federal and state transportation grants,Active,Not specified,,ci.beaverdam.wi.gov/545/Taxi-Ride,43.4633,-88.8372,Deep sweep WI (shared-ride taxi follow-up)
Berlin Shared-Ride Taxi,WI,City of Berlin + 5-mile radius,Rural,City of Berlin (contractor name unconfirmed),Demand-Response,Not specified,Phone only,Same-day (first-come-first-served),Adult $3.00; Senior/Student $2.00; +$0.75 add'l passenger; under 5 free w/ adult; Green Lake trips +$15; +$1.50/mi outside city limits,Mon-Sat 7:30am-5:30pm; Sun/Holidays 7:30am-3pm,Not specified,"Federal, State, and Local contributions",Active,Two caravans + two wheelchair-accessible lift vans,,cityofberlin.net/taxi-service,43.9666,-88.9426,Deep sweep WI (shared-ride taxi follow-up)
Black River Falls Shared-Ride Taxi,WI,City of Black River Falls + 5 miles surrounding,Rural,"Abby Vans, Inc.",Demand-Response,Not specified,Phone/Online,Not specified (appears same-day),Adult(18-64) $7.00; Student(4-17) $5.00; Senior(65+) $3.00; Disabled $3.00; Agency $10.00; +$4.00/mi outside area,Mon-Fri 6am-8pm; Sat-Sun 7am-8pm (eff. Jan 2025),"Program dates to 1989; briefly suspended ~Dec 2022, reopened under Abby Vans",Not specified,Active,Not specified,History of one prior service interruption (~Dec 2022),blackriverfallswi.gov/taxi-service,44.2947,-90.8471,Deep sweep WI (shared-ride taxi follow-up)
Clintonville Taxi,WI,City of Clintonville + 8-mile radius,Rural,Running Inc.,Demand-Response,Not specified,Phone only,Not specified (likely same-day),Adult $3.00; Senior/Student/Disabled $2.00; +$2.00/mi out-of-town; +$2.00 extra stop; 10-ride punch cards $30 (adult)/$20 (reduced),Mon-Fri 7:30am-5pm; Sat 9am-12pm; Sun closed,Not specified,Not specified (Title VI/ADA compliance language present),Active,Not specified,,clintonvillewi.gov/residents/page/clintonville-taxi,44.6194,-88.7548,Deep sweep WI (shared-ride taxi follow-up)
Door County Shared-Ride Taxi (Door 2 Door Rides),WI,"Most of Door County, divided into taxi zones",Rural,Door County government / ADRC of Door County,Demand-Response,Not specified,Phone only,"Same-day (Orange Core/Green Zone, 40-min notice); other zones 24hr preferred, not required",City Zone (Sturgeon Bay) $2.00/stop one-way; Extended area (to 10mi from ADRC) $5.00/trip; half-price for ADRC lunch-program trips,"ADRC-zone: Mon-Thu 7:45am-4:15pm, Fri 7:45am-1:15pm; other zones not fully specified",Not specified,Active,"Mixed fleet, some wheelchair-accessible",County RFP/contract consistent with WisDOT 85.20 state/federal/local pattern,,co.door.wi.gov/1046/Door-2-Door-Rides,44.8348,-87.3773,Deep sweep WI (shared-ride taxi follow-up)
Edgerton Shared-Ride Taxi,WI,City of Edgerton,Rural,"Brown Cab Service, Inc.",Demand-Response,Not specified,Phone,Not specified (industry-standard same-day),Adult(18-59) $3.50; Senior(59+)/Disabled $2.50; Student(6-17) $2.25; under 6 free; +$0.20/min wait; $2.25/mi beyond city; +$2.00 extra rider; $9.00 delivery,Mon-Fri 7:15am-5:15pm; Sat 9am-1pm,Not specified,"State (WisDOT 85.20, $8,739 in 2024), Federal (FTA 5311, $45,607), Local ($36,867), Farebox ($9,400) -- 2024 total expense $100,613 per LFB",Active,Not specified,,edgerton.wi.gov/transportation,42.834,-89.072,Deep sweep WI (shared-ride taxi follow-up)
Fort Atkinson Shared-Ride Taxi,WI,City of Fort Atkinson,Rural,"Brown Cab Service, Inc.",Demand-Response,Not specified,Phone/Email,Not specified,Adult $5.00 (current); Senior $3.50; Student $4.00; Disabled $3.50; +$2.00 add'l rider; $3.00/mi out-of-town,Mon-Fri 6:30am-7pm; Sat 7am-7pm; Sun 7am-3pm,Not specified,"State ($58,811), Federal ($94,029), Farebox ($141,000) -- 2024 total expense $293,840 per LFB",Active,Not specified,"Older Jefferson County ADRC directory cited $3.50 adult fare vs. current $5.00 -- possible fare-increase discrepancy, unresolved",fortatkinsonwi.gov/community/taxi.php,42.928,-88.839,Deep sweep WI (shared-ride taxi follow-up)
Grant County Shared-Ride Taxi,WI,"Lancaster, Boscobel, Fennimore (Grant County)",Rural,Grant County ADRC (Aging & Disability Resource Center of Southwest Wisconsin),Demand-Response,Not specified,Phone,"Same-day, minimal advance (call 15+ min ahead)",One-way $2.00; round trip $4.00; +$0.50 extra stops,Lancaster Tue/Thu 7:30am-4pm; Boscobel Wed 8:30am-12pm & Fri 1-4pm; Fennimore Wed 1-4:30pm & Fri 8:30am-12pm,Not specified,"State ($6,161), Federal ($36,364), Local ($30,203), Farebox ($6,000) -- 2024 total expense $78,728 (smallest of 39 Tier C systems) per LFB",Active,"Wheelchair-accessible lowered-floor minivan(s), one per location",Distinct from the same ADRC's separate age/disability-restricted Bus and Trips programs (out of scope) -- only the Taxi line is general-public,fennimore.com/community-life/elderly-services/grant-county-taxi-service,42.839,-90.713,Deep sweep WI (shared-ride taxi follow-up)
Hudson Public Transit (Shared-Ride Taxi),WI,City of Hudson,Rural,Running Inc.,Demand-Response,Not specified,Phone/Online,Same-day (~60 min advance recommended),Adult $3.50; Student(5-18) $2.50; Reduced(65+/disabled) $2.50 off-peak; +$0.25/min wait; $2.50/mi out-of-city,Daily 7am-7pm,"2024 (began Jan 1, 2024)","State ($59,811), Federal ($179,812), Local ($120,000), Farebox ($84,000) -- 2024 total expense $443,623 per LFB",Active,Not specified,,hudsonwi.gov/723/Hudson-Public-Transit,44.975,-92.754,Deep sweep WI (shared-ride taxi follow-up)
Jefferson Shared-Ride Taxi,WI,City of Jefferson,Rural,"Brown Cab Service, Inc.",Demand-Response,Not specified,Phone,"Not specified (""open to all customers at all times"")",Adult $5.00; Senior/Disabled $4.00; Student $5.00; +$3.00 add'l rider; under 6 free w/ guardian; $2.25/mi out-of-town,Mon-Sat 6:30am-6pm; Sun 6:30am-4pm (limited major holidays),Not specified,"State ($29,603), Federal ($113,050), Local ($83,446), Farebox ($38,000) -- 2024 total expense $264,099 per LFB",Active,Vans and handicap-accessible vehicles,,jeffersonwis.com/residents/city-services,43.007,-88.807,Deep sweep WI (shared-ride taxi follow-up)
